Horario,Lat,Lon,Rssi,Custo,Equipamento Melhor RSSI,Equipamento Melhor Custo
2023-11-22 10:00,-20.482383839,-43.916557576,-91,83410,CM-7966,CM-7966
2023-11-22 10:00,-20.461477794,-43.923654739,-79,87291,UFR 05 Corpo Oeste B2,UFR 05 Corpo Oeste B2
2023-11-22 10:00,-20.471862627,-43.923713964,-83,79394,CM-7928,CM-7928
2023-11-22 10:00,-20.460151531,-43.931044321,-94,46149,CM-7932,CM-7932
2023-11-22 10:00,-20.476495433,-43.9228277,-92,87282,UMR 04 - Trailer Telescopio Mascate,UMR 04 - Trailer Telescopio Mascate
2023-11-22 10:00,-20.461504651,-43.923888993,-55,42821,Desconhecido,Desconhecido
2023-11-22 10:00,-20.482700312,-43.917006993,-86,77446,UMR 14 - 4H Estrada sentido Batateiro,UMR 14 - 4H Estrada sentido Batateiro
2023-11-22 10:00,-20.474655717,-43.914875552,-87,87375,CM-7910,CM-7910
2023-11-22 10:00,-20.453654211,-43.916164531,-78,0,Gateway,Gateway
2023-11-22 10:00,-20.465761666666666,-43.90825833333333,-47,0,ES-5501,CM-7920
2023-11-22 10:00,-20.476258154,-43.922737156,-86,46149,CM-7932,CM-7932
2023-11-22 10:00,-20.468369999999997,-43.930503333333334,-76,0,UMR 36 - 20H Baixo,Gateway
2023-11-22 10:00,-20.45241,-43.9349,-61,93567,UMR 16F Prox. A ES-6003,UMR 16F Prox. A ES-6003
2023-11-22 10:00,-20.466606666666667,-43.93046666666667,-84,87370,CM-7939,CM-7939
2023-11-22 10:00,-20.47460064,-43.922782934,-81,87590,CM-7949,CM-7949
2023-11-22 10:00,-20.465819964,-43.932615365,-93,87589,CM-7942,CM-7942
2023-11-22 10:00,-20.458269874,-43.911797895,-64,66083,UMR 20 - PCOL  LINK,UMR 20 - PCOL  LINK
2023-11-22 10:00,-20.479225,-43.93449833333333,-30,0,CM-7905,Gateway
2023-11-22 10:00,-20.467688161,-43.92973967,-77,66066,UFR 08 - Pires TFI,UFR 08 - Pires TFI
2023-11-22 10:00,-20.476914447,-43.921759923,-71,86032,UMR 27 - PCOL Banco acima,UMR 27 - PCOL Banco acima
2023-11-22 10:00,-20.436048333333332,-43.839985000000006,-68,0,UFR 08 - Pires TFI,Gateway
2023-11-22 10:00,-20.463314999999998,-43.93243666666667,-78,87587,ES-5501,ES-5501
2023-11-22 10:00,-20.476381666666665,-43.91992333333333,-59,0,CM-7920,Gateway
2023-11-22 10:00,-20.475648333333332,-43.91705833333333,-84,0,RadioTabletmina,Gateway
2023-11-22 10:00,-20.474083333333333,-43.938939999999995,-75,0,UMR 16 - Esmeril D,Gateway
2023-11-22 10:00,-20.460729999999998,-43.91365833333333,-56,0,UFR 04 - Vila 2,Gateway
2023-11-22 10:00,-20.472246666666663,-43.92474,-53,0,TE-1117,Gateway
2023-11-22 10:00,-20.45881,-43.919965,-54,0,CM-7913,CM-7908
